web-scraper-order,web-scraper-start-url,name,origin,topic,review,stay,triptype,rate
"1665328641-2186","https://www.tripadvisor.com/Hotel_Review-g2312116-d111599-Reviews-Mauna_Lani_Auberge_Resorts_Collection-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html","Amal M","Tinley Park, United States8 contributions1 helpful vote","Short but Sweet","I had a short stay of one night at this beautiful hotel as I stopped by to do a quick site inspection so I filled in a lot in 1 and half days here.  The room was nicely laid out with modern Hawaiian decor and upgrade amenities.  The property sits beautifully on the ocean with several ponds.  Snorkelers would love this property.  They also had a water activity shack that offered several activities and we did a sunrise canoe paddle, which is recommended for anyone that wants to feel the spirit of the island as well as canoe surfing for those with a more adventurous soul. They have restaurants and bars that are nicely set with beautifully views.  The Canoe House is one of the best restaurants I have dined at and that is saying a lot considering I specialize in culinary wine tours. But when my daughter said her dad was out cheffed after dinner at the Canoe House, you know it was good as she is a daughter of a chef and she has been eating in fine restaurants since she was a toddler.  This is a true 5 star hotel and the service and food matches it's rating.  As the saying goes, you get what you pay for, so if you want a luxury Hawaiian experience, the Mauna Lani is for you.","Date of stay: October 2022","Trip type: Traveled on business","ui_bubble_rating bubble_50"
"1665328641-2187","https://www.tripadvisor.com/Hotel_Review-g2312116-d111599-Reviews-Mauna_Lani_Auberge_Resorts_Collection-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html","Michelle K","2 contributions","Favorite resort ever","Absolutely love Mauna Lani. It's wonderful for adults and kids alike. It's beautiful, impeccably clean and well designed, amazing service and great food all around. It's the kind of resort that feels right to us. We don't generally like the feeling of resorts that are too removed from from the place or environment they're in, like they're closed off. The Mauna Lani really feels like Hawaii, it incorporates the natural beauty of its location on the grounds. 
I can't recommend the Mauna Lani enough. It's a world class resort. I wish I didn't live so far away from it.","Date of stay: August 2022","null","ui_bubble_rating bubble_50"
"1665328641-2188","https://www.tripadvisor.com/Hotel_Review-g2312116-d111599-Reviews-Mauna_Lani_Auberge_Resorts_Collection-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html","Liz S","2 contributions","The best 5 star on big island!","Outstanding luxury hotel that tailors to suit your needs. Stunning interior with spectacular features. Modern & ultra clean. High quality meals with phenomenal service! You will leave relaxed and blown away by how well looked after you are by the warm, friendly and professional staff. This hotel is not only great for a romantic stay but wonderful for families with young children as well.","Date of stay: September 2022","null","ui_bubble_rating bubble_50"
"1665328641-2189","https://www.tripadvisor.com/Hotel_Review-g2312116-d111599-Reviews-Mauna_Lani_Auberge_Resorts_Collection-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html","Michael R","1 contribution","The most beautiful Hawaiian paradise","This resort is one of the most beautiful, clean, and comfortable places that I have ever stayed in. The smells, the atmosphere, the cuisine, the room, the amenities, the pools, the beach, the music, THE SERVICE. All of it was superb. From beginning to end, the staff went above and beyond to help Michael and I celebrate our recent engagement. Our extended family stayed here for a week last year to celebrate a 60th birthday and they highly recommended it. We are thankful to have been able to come ourselves and hope to return in the future. Thank you so much for your kindness, impeccable hospitality, and thoughtful touches. We received so much love at our short, but sweet stay. Canoe House is 10/10 and if you get to be seated with Melody, you will love her kind and thoughtful presence and her attention to detail.","Date of stay: September 2022","null","ui_bubble_rating bubble_50"
"1665328641-2190","https://www.tripadvisor.com/Hotel_Review-g2312116-d111599-Reviews-Mauna_Lani_Auberge_Resorts_Collection-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html","pennom","ca1 contribution1 helpful vote","Used to be great","It was a great hotel until they changed their business model to corporate, corporate, corporate. The whole time we were there for the entire week, we were met with corporate guests coming and going. They were loud and rowdy, creating the atmosphere as if you're vacationing in Vegas. Drinking at the pool and setting up boombox, ""blasting"" country music at the beach. Those corporate guests really acted as if they were the only people on the beach, some of them even ""saving"" beach chairs for their friends before they arrive. It was very disappointing for a nice leisurely resort to turn into a corporate hotel. I've been here two times this year and both times were full of corporate events and guests tramping the hotel ground. You think great they are leaving today and a bus load of them will come tomorrow... very disheartening. Plus this hotel ain't cheap either. If I wanted a Vegas atmosphere I only needed to pay a fraction of what this hotel costs in Vegas!","Date of stay: September 2022","null","ui_bubble_rating bubble_30"
"1665328641-2191","https://www.tripadvisor.com/Hotel_Review-g2312116-d111599-Reviews-Mauna_Lani_Auberge_Resorts_Collection-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html","emilygJ3420KR","sandy, United States2 contributions","Mauni Lani dream vacation!","We had the most fun we've ever had in Hawaii here! I loved the service and resort, with a true Kona, Hawaii feel. The ocean/beach area was so beautiful and easy to get in and out of the water. I loved all of the dining options on property, and how close the Kings Shops were with a quick drive down the road. The valet service was the fastest we've ever experienced at any 5 star resort. We were truly impressed with the housekeeping service, and grounds of the resort. I would recommend a stay for anyone wanting to relax and or adventure during a stay in Kona.","Date of stay: September 2022","Trip type: Traveled on business","ui_bubble_rating bubble_50"
"1665328641-2192","https://www.tripadvisor.com/Hotel_Review-g2312116-d111599-Reviews-Mauna_Lani_Auberge_Resorts_Collection-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html","Steve D","1 contribution","Perfection","The best resort we've ever stayed at.  My wife and I have never had better service.  It was our 18th anniversary and every staff member we interacted with knew it.  The hotel provided champagne and chocolate covered strawberries.  Our room was made up while we were out (almost like magic).","Date of stay: September 2022","null","ui_bubble_rating bubble_50"
"1665328641-2193","https://www.tripadvisor.com/Hotel_Review-g2312116-d111599-Reviews-Mauna_Lani_Auberge_Resorts_Collection-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html","billmick808","1 contribution","Best Resort in Hawaii","We love the Mauna Lani. It is where we go for a special occasions and business (if possible). Every time we come here we receive the best service and hospitality. The care they show for their guests is incomparable.","Date of stay: September 2022","Trip type: Traveled on business","ui_bubble_rating bubble_50"
"1665328641-2194","https://www.tripadvisor.com/Hotel_Review-g2312116-d111599-Reviews-Mauna_Lani_Auberge_Resorts_Collection-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html","MilwaukeeCraig","Milwaukee982 contributions196 helpful votes","Expensive, peaceful, luxury stay on quiet beach - somewhat isolated location","Return visit for us (previous 2000). Hotel is still awesome. Location is somewhat isolated - so unless you have a car dining options will be limited. Even with car you will need to drive a moderate distance for many dining options. Grocery store relatively close. (by car).  Separate adult and family (general) pools. Good size beach area with plenty of chairs. Large exercise room. Our one disappointment is the snorkeling off the resort beach was not as good as it was 20 years ago - previously we saw turtles every time and lots of fish life - this year no turtles and very limited fish.

Rooms overlooking pool will hear music during day and early evening. Quieter rooms are garden view. Super responsive elevators - never had to wait much. Pools and beaches relatively uncrowded. However restaurants frequently do not have reservations available I would recommend making them in advance. Restaurant and bar closes at 9 PM. Great breakfasts. Free guest self service laundry room including free detergent.

On-site dive operation - fairly small with limited capacity for boat dives. Pretty easy to get shore dive arranged, but if you want boat dives probably should reserve ahead of time. 

Large balcony with table, 2 chairs, sofa and large ottoman. Free in room bottled water.   Rooms very quiet no room to room noise. Large balcony with table 2 chairs, sofa, large ottoman and drying rack. Room has body wash, shampoo, conditioner, Q-tips, makeup remover, proximity sensing makeup mirror, hair dryer, slippers, robes, mini fridge, in-room coffee maker and safe.","Date of stay: May 2022","null","ui_bubble_rating bubble_50"
"1665328641-2195","https://www.tripadvisor.com/Hotel_Review-g2312116-d111599-Reviews-Mauna_Lani_Auberge_Resorts_Collection-Puako_Kohala_Coast_Island_of_Hawaii_Hawaii.html","Lina M","9 contributions","HaLani French toast","My family and I went for breakfast at HaLani in mauna Lani resort on our first day in the big island.  

My brother loved their French toast. The portion was huge and the bread was very thick and delicious. It was by far one of his favourite meals on the island overall. 

The avocado on toast and the prosciutto & pesto on toast were very delicious and full of flavours. 

We also had a açai bowl to share between three which was very refreshing to eat on a hot and sunny morning. 

The staff were very welcoming and the atmosphere was very calm and tranquil.

After you’re full I would suggest to take a walk around the resort to digest! It has some lovely scenery","Date of stay: September 2022","Trip type: Traveled with family","ui_bubble_rating bubble_50"
