reviewid,rating,title,review,review_date,stay_date,trip_type,room_tip,origin
864276304,50,Best Four Seasons / Hotel Stay,I could not say enough good things about my experience at Four Seasons Lanai. Everything was perfect from check in to check out. Service was the best I have ever received and amenities are amazing. Would highly recommend staying here. More of an adult resort but they did have a couple of kids around. This was the best honeymoon spot ever.,Oct 12,October 2022,,,"New York City, New York"
855567474,50,INCREDIBLE! FABULOUS! AND AMAZING!,"Those were the words our family ( including our children and grandchildren) used to describe our one week stay at the Four Seasons Lanai. There is a reason it was voted #1 Best Hotel in the USA by U.S. News & World Report.    The hotel has it all! Gorgeous accommodations, stunning lush landscaping, great service and delicious food. There are so many activities to enjoy including a beautiful beach, two lagoon swimming pools, horseback riding, hiking, biking, Catamaran snorkel trip, Spa, tennis, golf, adventure park and Observatory to see stars and planets. That does not include parrots and koi ponds.(there is a handler that lets you hold the parrots and they give you food to feed the fish).    When you land in Honolulu you are greeted and whisked away on Lanai Air charter for a short 20 minute ride to Lanai. This is included in the price of your accommodations. All the transport is so first class. You will feel like royalty!    Let me discuss what made it so special.    1. SERVICE- All the staff are so friendly and provide excellent service. They all have the best attitude with big smiles on their faces.    2. ACCOMODATIONS-. The spacious rooms and suites are furnished with stunning décor with the finest linens and bedding. My son said it was the most beautiful hotel room he has ever stayed in.(He has stayed in many 5 star hotels)    3. FOOD-. There are many choices to dine in at the hotel- Nobu, One Forty, The Break and Malibu Farms. My husband and I have been travelling all over the world for the last 40 years, staying in luxury hotels and I can say the food at the Four Seasons Lanai is the absolute best of any hotel we have stayed in.    4. ACTIVITIES - There are so many it would be hard to do all of them in just one week. There is an Adventure Planning team that will book all of them.    5. LANDSCAPING- It is so lush you will feel as you are in a tropical Paradise. It will take your breath away! There are 500 species of varieties of plants, trees and shrubs planted on 12 acres surrounding the hotel.    If you see my profile on Trip Advisor I have over 400 reviews of luxury hotels and restaurants and 220,000 readers. When I go on a trip I document all the people in a little notebook who made my stay so special. I am so grateful for their service to me.    On arriving at the Lanai airport we were greeted by the delightful Amanda in a luxurious van to take us to the hotel and also showed us to our room and explained everything to us.    Breakfast and Dinners at One Forty. This was our favorite restaurant with so many choices and the most magnificent view overlooking the resort and ocean. Thank you to the hostesses- Sharleen, Merrylou and Melody. To our fabulous servers, Juliet, Chaires, Christian, Alex, Norma, Ferlyn, Mairza, Anna Lou, Arnel, Vanessa and Helen. You were all so outstanding in providing us exceptional service for all our meals .To the Restaurant Manager- Chole and Natalie- Manager in Training thank you for running a wonderful restaurant. We were fortunate to have met Amir- the Executive Chef and the Sous Chef- Robin. They both came out to meet us and we were so appreciative of their creative food.    We also ate at Nobu where the food is also delicious with stunning views.    The food at Malibu Farms is wonderful for lunch. Thank you to Patrick and Nerissa for making the best pina coladas at the Bar there.    One night for dinner we went to the other Four Seasons on the island the Four Seasons Sensei and ate at their restaurant. The environment was a magical setting with great food. Thank you to Tibor for your service and Carlos the Assistant Manager. Be sure to go there for dinner one night.    To Sean Forte- Director of Food and Beverage who oversees all the food at the hotel. You are so kind, passionate and purely amazing to make sure the hotel that has the BEST food ever. Everything was so delicious and served so beautifully. We loved the macadamia nut pancakes! Thank you Sean for always checking on us to make sure everything was perfect. Our family is forever grateful to you! Four Seasons Lanai is so lucky to have you!    The Pool Manager Julia is so lovely in making sure everything runs smoothly including all the wonderful pool attendants.    We enjoyed going every day to the beach and ocean. Thank you to the Beach guys- Kanalu, Alex, Jay, Nick, Tuma, Steven and Trevain for providing great service including lounge chairs, umbrellas, cold water, towels and food.    At the front desk/reception you will be greeted by the kindest staff to check in, ask questions etc. Thank you to Jennie, Jessie, Britni, and Eddie. Our heartfelt appreciation goes to Mark Oriol the Resort Assistant Manager who has the biggest smile and was beyond amazing to our family. You are the best example of all the standards Four Seasons Hotels expect from their employees. If you were next to me now- I would give you a Big Hug!    At the Lanai Adventure desk- Linaka and Lilu’u were so delightful and patient in helping plan all our adventures. Do not miss the Snorkel trip on the gorgeous catamaran. That was a fabulous 3 hour excursion. All the shuttles to take you to any activity is complimentary.    The bell desk, including Randall, Dacyn, Tyana and Perry provided great service.    We had fabulous hot stone massages at the Spa. The best we ever had!. Thank you to Lindsey the Spa Manager and to our massage therapists - Tomomi and Susana. Book your treatments in advance of your stay as it is very busy and fills up fast.    It was also a pleasure to meet Avi the Resort Manager and Moshe- Director of Rooms.    I saved the best for last! A resort hotel that is so magnificent does not just happen. The person behind making Four Seasons Lanai such an amazing hotel is the General Manager- Alastair McAlpine. He is engaging, always present and has a good sense of humor. We loved talking to him! He is absolutely FANTASTIC! He is such a dedicated and passionate General Manager. You are the epitome of what a General Manger should be. Thank you Alastair for allowing our family to have the most amazing week at your hotel. We will have everlasting memories and we can’t wait to come back!    It just puts the biggest smile on my face thinking about our vacation at the Four Seasons Lanai.",Aug 2022,July 2022,,,United States
863206805,50,Simply fabulous,"We went as a family (adult kids) and had the most amazing time. Special shout outs to the staff who couldn't be nicer. It's just really special. Beautiful beach, water, amenities at the beach. The careful touches in the rooms also standout.",Oct 4,August 2022,,,
861216487,50,Once in a lifetime experience,"This was kind of a birthday treat for myself and it turned out just as nice as we had hoped.  To get to the resort you land in Honolulu and transfer to a six-seat airplane with Lana'i Air. We had never been on this small an aircraft, but the meeting with a representative at baggage claim, car to Lana'i air, flight to Lana'i was smooth and fun.  Shuttle to hotel waiting at terminal on Lana'i, quick ride to the hotel where we were greeted by Sarah, who brought us in, checked us in, gave us any needed information and then we were escorted to our room.  One note, the resort has no ADA suites, so we took a gamble on one of their oceanfront suites and made it work.  The bathroom was a bit small, and the toilet was in its own cubicle and there is no room to wheel into it. My wife could get from her chair to the toilet, but she has good upper body strength to be able to do it.  The service was exceptional, and every contact with staff was friendly and they were always willing to help or make things easier.  The grounds are gorgeous and reflect the work needed to keep them that way.  Food was excellent and we tried new and interesting dishes.  There are many activities to participate in, but these are very limited to access for anyone with mobility issues.  We did have a nice night out at Lana'i City Bar & Grill and explored downtown Lana'i City (two blocks around Dole Park).  Really nice fitness center open 24 hours a day.",Sep 2022,September 2022,,,"Genoa, Nevada"
861063494,50,A Visit to Paradise,"This was our 4th time visiting this resort and it remains our favorite go to place. The people are exceptional, the service is exceptional, the grounds are exceptional and the golf course is exceptional.",Sep 2022,August 2022,,,"New York City, New York"
856707365,50,Excellent for families or couples,"My wife and I just spent 3 nights here with our 2 boys, 5 & 8, and we couldn't have had a nicer time. The resort was so personal and accommodating, and kids are truly made to feel welcome. There were many other families with young children, as well as many couples, all existing happily together. There is a family pool and an adults only pool which really helps, but overall, the resort is small enough (in capacity) and large enough (in space) that each group can have plenty of room for themselves. We enjoyed the beach, the pool, the food, the views and the nature of the garden; the kids had a great time with the rescue birds, feeding the fish, interacting with Uncle Bruno, and catching lizards.    From the moment you get picked up at the busy hectic airport to be chauffered to the personalized care of Lanai Air, you will feel very special experiencing this place!",Aug 2022,August 2022,,,"Milford, Connecticut"
856230325,50,beyond expectations,"The pictures (and even the reviews) do not do justice to this amazing resort. The experience begins with the seamless transfer after landing at Honolulu airport. The Lanai air short flight to the island is both exclusive and professional. Relaxation commences as soon you step aboard this luxurious little plane.  The resort itself is breathtaking..and remains that way each moment of your stay. We spent 5 nights in a beautiful room (1112) with a wrap around lanai to sit on and take in the ever changing view of the coastline and ocean. The room itself is expansive and has a beautiful eye for detail. A huge amount of storage and great lighting adds to the appeal. The bathroom is huge and has arguably the best shower you will have encountered. But after a 10 hr flight from Sydney the best feature was 'that bed!'. Having stayed in numerous hotels around the world nothing...and we mean nothing, comes close to the sheer opulence and comfort of the bed. Words cannot do this justice. Words (and photos) also cant adequately describe how lush and brilliantly designed the gardens are. The walk from your room to the hotel facilities is to take a stroll through a lush and surprising forest. This all lends itself to creating the most relaxing environment you will ever experience at a Hotel. When it comes time to eat (if you can leave 'that bed') the breakfast is outstanding. Served outside and food of the highest order. No rush here, it goes until 11am. Then its a choice of either the pool or a short walk to the beach. The seating around the pool is perfectly designed to provide a sense of privacy and at the same time invites you to marvel again at the tropical flowers and trees that surround you. The beach is also the place to relax and gaze at the rolling surf in the distance. If you are anything like we were you will find yourself spending the whole day here. Then its on to dinner. The standout location is Nobu. Not only is it unique amongst Nobu's we have eaten at (most of it is outdoor seating) but the quality of the ingredients are next level. If you are fortunate you will meet Max at Nobu. He strikes the perfect balance between relaxed service and superb knowledge of food and wine. If in doubt, just trust in his advice and you wont go wrong. We dined 3 times at Nobu and every meal was different and equally enjoyable. Each night Max came up with a different wine to try based on our preferences and palate. He is an amazing asset to the Four Seasons and Nobu.  Pretty much the same can be said to everyone you encounter. Be aware, you wont interact with many staff as they go about their task of ensuring everything is done expertly and with discretion. The height of intuitive customer service. So, in summary..look at the pictures people post (and even the Four Seasons photos), read the glowing reviews, consider the awards and critical acclaim but at the end of the day just book a stay at this next level property and be prepared to have your expectations exceeded !",Aug 2022,August 2022,,all rooms are amazing. Ocean front are the best option.,"Las Vegas, Nevada"
856139461,20,Nice but needs work,"Overall, the staff, grounds, restaurants and physical plant are magnificent, but we had several problems with our room, including a shower stall that was almost impossible to use due to a rock pebble floor that was very difficult to stand on in bare feet; a bidet that was not fully functional, an inoperable coffee maker and seeing at least one large roach run under our bed.",Aug 2022,August 2022,Traveled on business,,USA
854687109,40,Family vacation,"Beautiful hotel  Just thought beach was disappointing as far away and not conducive to swimming (murky, rocky, jellyfish and undertow). Some is Mother Nature but not much to do outside beach. Pool area small for hotel. Felt crowded. Also staff sometimes pushy. Not genuine.",Aug 2022,August 2022,,,"Port Washington, New York"
854094337,50,Forever our new favorite,"We visited for 5 days in June and may be spoiled for all other hotel stays going forward! The grounds are tropical and lush, the views splendid, the rooms well appointed and so comfortable, the food out of this world, but perhaps the best thing of all was the exemplary service. Ditto manned our ocean facing chaise lounges overlooking the bluff daily. He was friendly and quick to serve. We loved hearing about his life on the island. Sampling the daily complimentary treats (frozen fruit, frozen mocha treats, frozen York Peppermint Patties was a lovely touch. Christian was our first server at 140 Steakhouse and he was one of the best servers we've had anywhere. Knowledgeable, Fun, not too serious, yet very professional. Don't sleep on the Grilled lobster tail. One of my favorite meals anywhere. Francis was a favorite at breakfast and always quick with a smile, always remembered our names and was a great start to our days. Kealii was our shuttle driver back and forth to the Sensei property and shared so much knowledge about the island. We would have enjoyed more time learning from him. Kara was our horse back riding guide and it was evident how much she loved the animals and was happy to share about moving to the island and what it's like having not grown up there, but assimilating well nevertheless. Cecelia was our waitstaff for the one night we ate on the Sensei property. She was fabulous and you could tell she had been there more than a decade. Four Seasons, you are doing everything right - don't change a thing!",Aug 2022,June 2022,,,"Cincinnati, Ohio"
