reviewid,rating,title,review,review_date,stay_date,trip_type,room_tip,origin
864284616,50,Simply the best!,"We have stayed at Hualalai many, many times over the las decade and have always had a wonderful experience. Amazing food. Warm, yet professional staff. Always so sad when we have to return home, but start planning our next stay before we even get on the plane to go back!",Yesterday,September 2022,,,
857155674,50,Top-Notch Stay in Every Way,"Four Seasons Hualalai is one of the best resorts we've ever encountered. Everything is at the top level, from the welcome with leis and drinks to the departure with the friendly and helpful desk staff. We stayed in an ocean view room (king plus pull-out for our child) with the lava rock shower, which I can't recommend enough. We were offered an upgrade to a second-floor room but turned it down since we wanted that outdoor shower - this was the right choice! Our room faced the beach and we could easily hear the sound of the waves from our lanai. Being on the first floor also meant having direct access to the lawn/gardens and we were just steps from the quiet pool. What a beautiful setting! The landscaping and architecture make your room feel isolated even with people right next door, and the low buildings make the entire resort feel intimate in a way that a high-rise never could.    Every interaction we had with staff was welcoming, thoughtful, and attentive. We especially loved how the staff would come by our beach chairs throughout the day to refill our ice waters and offer little complimentary refreshments such as popsicles, fruit, and frozen grapes. They would even clean your sunglasses for you!    One of our favorite features of this resort is the beach in front of the Seashell (family) pool. There is a lava rock barrier which creates a safe place to swim and snorkel and buffers the area from large waves. It's still fun for older kids and adults as you can get some good waves in high tide, and there is sea life (a very charming sea turtle swam around for most of our visit) but you don't worry as much about predators or jellyfish as I would in the open ocean. The water is very warm and in the morning is still and smooth. I do recommend bringing water shoes because there are sea urchins among the rocks even in that area and we did see one person step on one (easily remedied by staff who have a kit to neutralize the stingers - but still unpleasant).    Every meal we had was terrific - the prices are frankly astonishingly high so be prepared, but again the service and the quality were top notch. We ate at Ulu, Beach Tree, and Hualalai Grille and each one was unique and delicious with plenty of choices for both food and beverages. We also liked the Surf Shack by the beach for easy (and reasonably priced!) lunches. The breakfast buffet at Ulu is not to be missed!",Aug 2022,August 2022,,,"New York, NY"
863292477,40,"Grounds exceptional, Service spotty","We have stayed at this resort 4-5 times. Comparatively to our past visits...the grounds and rooms are wonderfully exceptional, however the service / food by the ground staff (not management or front lobby-they're wonderful) was extremely disappointing. Mediocre or poor-quality food, slow and without enthusiasm wait staff, rarely acknowledged by name, poor/slow pool service. Just extremely disappointed in the overall service experience...again, the grounds and rooms are great! We look forward to the Rosewood property opening in Kona Village next door. We luv our Rosewood properties in Mexico so we look forward to spending our thousands with Rosewood and experiencing what service they will provide.",Oct 5,September 2022,,,"Plano, Texas"
862042257,50,Their staff could teach my staff a lesson!,"Every employee from the gardeners to the front desk, and everyone in between is extremely attentive to your every want and need. Most wants and needs are anticipated making for an extremely relaxing vacation. First time back at the Four Seasons in a couple of years but it will not be that long till I return.",Sep 2022,September 2022,,,"Rancho Cucamonga, California"
861482506,40,Five star but a few nits,"I usually frequent the Wailea FS but wanted to try this one and another hotel on the Big Island. The resort is really a series of casita like rooms with no grand lobby or connecting rooms. Everywhere is golf cart transported from the valet (excellent btw). The main restaurant however is just average. One dish was burnt and the back waiter brought out entree’s and asked ‘ who was having etc …’ an absolute no no in a fine dining restaurant. Used dishes were left on the side stands visible to diners as hoards of sparrows ate off the plate ( I don’t think sparrows are cute I think they are a notch above pigeons ). I witnessed three restaurant workers standing nearby but not really reacting something that is constantly monitored at Wailea FS. They have a swim able aquarium which some would love but all I could think of was fish doo doo probably something left over from Cleaning a fish bowl as a kid. The ocean shoreline is gorgeous but rocky and not really swim able, nothing like the stellar beach at the Mauna Kea or Wailea. The pools are beautiful infinity pools and service is excellent. They are relaxing and nothing chaotic as Wailea can be. The rooms all seem to have views and are gorgeous and newly redone. This is a five star resort with a few nits.",Sep 2022,September 2022,Traveled with family,,"Los Angeles, California"
861279343,30,Four sessons is not Fourseasons as it was.,"We visited the Four Seasons again at a time when the Covid Pandemic improved. The beautiful garden and the smile of the staff pleased us, but the soggy room, the bed, and the cleaning condition that couldn't be worse than anything else, ruined our vacation. All the time staying at a great resort has been ruined by housekeeping. The shower booth and bed washbasin remained untouched, and the floor and sofa were not cleaned, so I rather cleaned up again. I really don't want to think again. We've thought there's no better alternative than the Four Seasons, but I don't think I'll be able to choose the Four Seasons to avoid ruining my next vacation if these services don't improve.",Sep 2022,September 2022,,,"Seoul, South Korea"
861239965,50,Best resort ever!,Wow - what a great resort on the Big Island. So many things to do on and off resort and the service and accommodations were impeccable. The breakfast buffet was amazing. I just cannot think of anything negative about the experience at this resort.,Sep 2022,September 2022,,There are so many good rooms - each has its own features and good views.,Virginia & Maine
860740242,40,Bucket List Visit that fell a little short,"It has taken me some time to think about our visit before posting this review because some of the experience was not quite what we expected. This was a bucket list resort for us for several reasons but especially because my husband has long wanted to play the golf course and we love the Big Island and lots of reviews refer to this resort as the Best in Hawaii and even the World. We are not wealthy, we are hard-working professionals who will splurge on travel and golf experiences. When we managed to snag what appeared to be a “low” price for the lowest category room (but still expensive) we gulped and booked three nights to add on to the 5 nights we were staying at Westin Hapuna. We joked with friends that one night here cost us more than our air/hotel package honeymoon to Paradise Island in 1986! So this is a review for people like us and some of our opinion on “Is it worth it?”    What’s Worth It: The Pros. Yes, the service was very good and we liked being able to communicate via the app with the concierge. And the pre-visit experience was also very good. The service at the pools/beach was very good and special shout out to Kelly who took care of us for two days at the Beachtree Pool, she was great and we enjoyed chatting with her. The ocean golf-view room had a better view than expected (even from first floor) and was more conveniently located than we expected, we thought it was going to be far away from the main part of resort but it wasn’t and being so close to golf clubhouse/cultural center was a plus. We were glad we didn’t pay lots more for a higher category, in fact, we found our location much quieter than the rooms located near the pools/beach. And the outdoor shower was really fun…we never took an indoor shower! Food - The food was very good, what we liked best was the pasta at Beachtree. The ladies at the Hawaiian Cultural Center were wonderful, I took a fun and educational bracelet weaving class (complimentary) and since I like arts & crafts if I had stayed longer I would have taken more advantage of this. The location of the property is of course spectacular and the design is just right for Hawaii, low-rise, lots of coastline, open air. I like to walk for exercise and so that was a real plus. Golf experience and course was excellent and definitely worth it.    Cons - Maybe Not Worth It: The drinks. We enjoy our cocktails, especially on vacation and for the cost of $50+ for two drinks you want them to be excellent. I was on a mission to try as many different Mai Tais as possible on this trip (#vacationgoals) and had better drinks at Westin Hapuna, Mauna Kea Hotel and Merriman’s on Maui. Did try the $40!!! Mai Tai at Ulu because hey, was wondering how a drink that expensive would be…it was the best I had at the 4S but it then again, it was $40. Restaurant experience…if you want a romantic, quiet couples trip do not visit here in summer or during school holidays. Our dinners were somewhat marred by all the kids running and playing loudly on the lawns/beach in front of Beachtree restaurant and Residents restaurant. The Bar Experience - we like an upscale bar/cocktail lounge experience and that really does not exist here…the bars are part of the restaurants and pools and so don’t really have an identity as a destination and experience if that makes sense. For example Copper Bar at Mauna Kea Beach Hotel or the lovely outdoor balcony cocktail lounge at the Fairmont Orchid. We missed that here. The “feeling/ambience” of the resort….something about how all the buildings are separate and spread out made it seem like a “central identity” was missing and so it did not quite capture us “heart and soul”…it felt like a bunch of upscale beach/pool clubs strung together along the coastline. I realize this sound extremely picky but for example, Mauna Kea Beach Hotel gave us a Hawaiian resort feeling that FS Hualalai did not. Last but not least, we were turned off by the blatant attempts to get us to pay for a room upgrade, I have never encountered this anywhere else. A few weeks before our trip we were emailed an offer, which we declined. And then at check in, we were made the offer again to pay $200 more a night…what, we are paying $1,200 a night for a room, excited about our visit and immediately when we arrive you are indicating it is not good enough? And by the way it is our Anniversary and you can’t offer a complimentary upgrade? Tacky and not what we expected to start off our visit.    I don’t want all of this to make anyone think we didn’t enjoy our stay, we did! Did it blow us away??? Obviously not. Is it worth trying once? Of course! We were glad we arranged our trip to do all our excursions/island touring while were at the Hapuna…because when you pay the cost of the 4S…you want to spend the entire time at the resort. If you are looking for the quintessential upscale Hawaiian beach resort experience and can pay the price, then this is it. Would we return? Yes, at a price that was right for us, but we’d do the same as we did and combine a short visit with one of the other wonderful resorts on the Big Island because we have now stayed at a number of them and they each have unique advantages.",Sep 2022,August 2022,Traveled as a couple,,"Highland Village, Texas"
860144668,50,SUPERB,Probably the best hotel in the world. Nothing but great thiungs to say. My son left a favorite book in our room- which we discovered when we returned home. Contacted them via the chat and the book was found and in our possession in 24 hours with fed ex. amazing. No better setting. Endless things to do- or not do.,Sep 2022,September 2022,Traveled on business,,"Honolulu, Hawaii"
860042295,50,"Highly recommended, don’t forget to order coconut soufflé to finish a lovely dinner.","Fabulous dinner at Ulu, gastronomic experience, good food and good company. Our starter includes grilled octopus, calamari and lechon kewali. Main courses were just out of this world! Catch of the day was ono, we also ordered kanpachi, mahi-mahi and steamed snapper!",Sep 2022,September 2022,Traveled with friends,Parking was confusing for customers,"Yakima, Washington"
