web-scraper-order,web-scraper-start-url,name,origin,topic,review,stay,triptype,rate
"1665326404-85","https://www.tripadvisor.com/Hotel_Review-g60982-d90015-Reviews-Halekulani_Hotel-Honolulu_Oahu_Hawaii.html","Javier G","Santo Domingo, Dominican Republic1 contribution","Great Hotel for Honeymooners","The hotel was great with outstanding service from the staff. Everyone was very polite and helpful, and always greeting you with a smile.
Fantastic view from the room, with a great spot for watching the sunset by the pool area. Pool area was great, just as pool service. Food was delicious. Beach section accessible to hotel guests, with a 1-2 minute walk to the open Waikiki Beach.
Cleaning/turn down service happens 2 times a day, and they always leave you a small souvenir the second time. We stayed for about 11 days and the souvenirs started repeating after a week's time so stay at least 7 days to collect them all :)
The 3 restaurants in (House without a Key, Orchids, La Mer) were all great with a varied palette of dishes.
It rained 2 days while we were there and there were freely available umbrellas for guests to use.
No complaints. Highly recommended. Would definitely go back.","Date of stay: September 2022","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665326404-86","https://www.tripadvisor.com/Hotel_Review-g60982-d90015-Reviews-Halekulani_Hotel-Honolulu_Oahu_Hawaii.html","Departure618266","4 contributions3 helpful votes","amazing stay","The hotel is a tranquil beauty with unmatched service. One of our favorite hotels and we have been staying for the last 30 years. Always beautiful and great service. The pool area is relaxing with beautiful views of Diamondhead and the pool temperature perfect. Rooms perfectly appointed and great service throughout the hotel.","Date of stay: March 2022","null","ui_bubble_rating bubble_50"
"1665326404-87","https://www.tripadvisor.com/Hotel_Review-g60982-d90015-Reviews-Halekulani_Hotel-Honolulu_Oahu_Hawaii.html","PHXARchitect","Phoenix, Arizona6 contributions1 helpful vote","Return to Waikiki","We've stayed in about every hotel in Waikiki over the years.  We will only stay at the Halekulani from now one.  Admittedly, we are nearing retirement and enjoy a quieter, upscale experience but also relish evenings of excitement.   If you are looking to Ovoid the long lines, gobs of people and make believe Aloha spirit.  Halekulani is simply the best.  It is intimate, tasteful, classy and in keeping with true aloha flavor which we expect while in Hawaii.  Breakfast beachside at Orchid restaurant each morning was very special and the staff are exceptional  The location, while very quite is also perfect with walking access to the best restaurants in Waikiki.","Date of stay: October 2022","null","ui_bubble_rating bubble_50"
"1665326404-88","https://www.tripadvisor.com/Hotel_Review-g60982-d90015-Reviews-Halekulani_Hotel-Honolulu_Oahu_Hawaii.html","Gary M","3 contributions","Excellent","This was 5 star all the way. From the service to the accommodations it was all top notch. We would stay there again From turn down service at night to the pool was the best. The hotel booked us a tour of the palace.","Date of stay: October 2022","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
"1665326404-89","https://www.tripadvisor.com/Hotel_Review-g60982-d90015-Reviews-Halekulani_Hotel-Honolulu_Oahu_Hawaii.html","mason525","Wolcott, Colorado44 contributions34 helpful votes","Stunning","We had a perfect stay at this beautiful hotel with service that was amazing.  Loved our room because of great design and comfort. Our dinner at Orchids was also perfect. We had a great view of one of the most beautiful sunsets we’ve ever seen and food and drinks were outstanding!
Mahalo and we hope to be back soon!","Date of stay: October 2022","null","ui_bubble_rating bubble_50"
"1665326404-90","https://www.tripadvisor.com/Hotel_Review-g60982-d90015-Reviews-Halekulani_Hotel-Honolulu_Oahu_Hawaii.html","Linda W","10 contributions","Fantastic hotel in an excellent location.","From check in to check out, the hotel staff were wonderful, friendly and attentive. The hotel is in an excellent location in Waikiki. We had a beautiful view of the ocean and enjoyed the entertainment, every evening, at the House Without a Key, from our lanai. The room is spacious and comfortable. The hotel goes the extra mile in every way and also provides a turn-down service that leaves a thoughtful, inspirational note and gift. We mentioned that we were celebrating our 30 yr. anniversary and were surprised with a bottle of champagne on ice. The pool staff and the pool are fantastic. We would recommend this hotel 100%,","Date of stay: September 2022","null","ui_bubble_rating bubble_50"
"1665326404-91","https://www.tripadvisor.com/Hotel_Review-g60982-d90015-Reviews-Halekulani_Hotel-Honolulu_Oahu_Hawaii.html","21Family21","Brisbane15 contributions25 helpful votes","Once again a perfect and memorable stay ..","We travelled as a family and with friends and once again the Halekulani delivered an exceptional professional , warm , friendly and amazing stay ! everything was perfect from the moment we arrived to the moment we left. We have stayed here many times and can not recommend more highly the facilities and the beautiful team of people that make this luxury hotel feel like a home. A special thank you to Mark Miyashiro !","Date of stay: September 2022","null","ui_bubble_rating bubble_50"
"1665326404-92","https://www.tripadvisor.com/Hotel_Review-g60982-d90015-Reviews-Halekulani_Hotel-Honolulu_Oahu_Hawaii.html","Duane D","Seattle, Washington6 contributions","The Loss of One of The Best Hotels in The World","We have been staying at the Halekulani Hotel since 1989 and have been in love with the experience from the beginning! A beautiful location, a stunning view, outstanding architecture and setting and add to that Exceptional service that ALWAYS exceeds your expectations and you have a dream come true! The New and reopened Halekulani looks like it always did, but what they took away was the Exceptional service and replaced it with a whatever attitude of a motel 6, let's make a dollar and move on! They really could care less about the guest experience. There are a few bright shining employees left and they know who they are, but I am afraid they really are fighting a losing battle! There is ZERO LEADERSHIP throughout the organization. Shame on you for destroying a FABULOUS EXPERIENCE!! We will never return and chose to spend our money elsewhere!  Ritz Carlton here we come!","Date of stay: September 2022","null","ui_bubble_rating bubble_30"
"1665326404-93","https://www.tripadvisor.com/Hotel_Review-g60982-d90015-Reviews-Halekulani_Hotel-Honolulu_Oahu_Hawaii.html","fujiyamamasao","Tokyo2 contributions","Turn down service","I asked for a turn down service, and it was done very fast and politely.
The toilet was equipped with an automatic washing function.
This is very unusual in the US, so I was very suppurised.
I feel at home at Halekulane at anytime.","Date of stay: September 2022","null","ui_bubble_rating bubble_50"
"1665326404-94","https://www.tripadvisor.com/Hotel_Review-g60982-d90015-Reviews-Halekulani_Hotel-Honolulu_Oahu_Hawaii.html","TWAjunkie","Palm Springs, California84 contributions53 helpful votes","Incredible Experience","Talk about being made to feel like royalty!  The word Halekulani translates to ""House Befitting Heaven"" and that is accurate as you can get.  We have returned here many times since the 1980's but not in the past 3 years because of Covid.  During that time, the hotel redid all the guest rooms, excellently refreshing everything from the decor to adding Nespresso machines in an individual coffee bar, the rooms are just wonderfully updated and lighter, with breathtaking views.  The staff continues to be the best in any hotel we have been in, seeing to your every need, pampering you at every turn.  I cannot compliment this hotel enough.  It certainly lives up to it's translated name.  Mahalo!","Date of stay: September 2022","null","ui_bubble_rating bubble_50"
"1665326404-95","https://www.tripadvisor.com/Hotel_Review-g60982-d90015-Reviews-Halekulani_Hotel-Honolulu_Oahu_Hawaii.html","Javier G","Santo Domingo, Dominican Republic1 contribution","Great Hotel for Honeymooners","The hotel was great with outstanding service from the staff. Everyone was very polite and helpful, and always greeting you with a smile.
Fantastic view from the room, with a great spot for watching the sunset by the pool area. Pool area was great, just as pool service. Food was delicious. Beach section accessible to hotel guests, with a 1-2 minute walk to the open Waikiki Beach.
Cleaning/turn down service happens 2 times a day, and they always leave you a small souvenir the second time. We stayed for about 11 days and the souvenirs started repeating after a week's time so stay at least 7 days to collect them all :)
The 3 restaurants in (House without a Key, Orchids, La Mer) were all great with a varied palette of dishes.
It rained 2 days while we were there and there were freely available umbrellas for guests to use.
No complaints. Highly recommended. Would definitely go back.","Date of stay: September 2022","Trip type: Traveled as a couple","ui_bubble_rating bubble_50"
